id,image_url,image_format,link,title,date_from,date_to,description
c031660009,http://acms.sl.nsw.gov.au/_zoomify/2015/D33601/c031660009.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290434&suppress=N&imgindex=9,"Berowra, Hillcrest Estate",1880,1930,Sydney Subdivision Plan
c032530001,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=1,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=1,"Hurstville, Baringa Estate",1880,1930,Sydney Subdivision Plan
c032530002,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530002.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=2,"Hurstville, Dumbletone Tiownship",1880,1930,Sydney Subdivision Plan
c032530003,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530003.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=3,"Hurstville, Dumbletone Tiownship",1880,1930,Sydney Subdivision Plan
c032530007,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530007.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=7,"Hurstville, Dumbletone, Tramway Terminus Estate",1880,1930,Sydney Subdivision Plan
c032530008,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530008.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=8,"Penshurst, Graham Park",1880,1930,Sydney Subdivision Plan
c032530009,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530009.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=9,"Hurstville, Gloucester Estate",1880,1930,Sydney Subdivision Plan
c032530010,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530010.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=10,"Hurstville, Hillside Estate",1880,1930,Sydney Subdivision Plan
c032530012,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530012.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=12,"Hurstville, Kings Park",1880,1930,Sydney Subdivision Plan
c032530013,http://acms.sl.nsw.gov.au/_zoomify/2015/D33792/c032530013.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290875&suppress=N&imgindex=13,"Peakhurst, Kulnura Estate",1880,1930,Sydney Subdivision Plan
