title,collection,status,georeferencer_id,id,thumbnail,num_gcps,center,south_west,north_east,envelope,marc034,rms_error,user_name,user_identity,date,date_time,verified_revision,verified_marc034,verified_user_name,verified_user_identity
"Sydney City, Chippendale, Station Terminus",SLNSW_subdivision_plans,georeferenced,TS615jftdptYIZrCTXM8vV/201703112325-gtO6e7,c035520004,http://lh3.googleusercontent.com/6cdW9GkEFQ6p7-E-WC4tJI-ghmH8Wofl46Jfgd-w2h0iBJtll4_C8YRx9vGaGRfPIPqF1mgkWCozGuRbh7SokwrFOOU,4,"-33.884549,151.201453","-33.885416,151.201074","-33.883681,151.201832","<Polygon><outerBoundaryIs><coordinates>151.201832,-33.885392 151.201435,-33.883681 151.201074,-33.883705 151.201471,-33.885416</coordinates></outerBoundaryIs></Polygon>",$dE1511203$eE1511206$fS0335301$gS0335307,0.00000575099444313677796608878443,Ted Bell,8236a74a2d3bd32b0760801651a8ed70d5b73f16,03/11/2017,03/11/2017 23:25,,,,
"Chatswood, Hawthorn Estate",SLNSW_subdivision_plans,georeferenced,znl8mgDcvpfIvu5dGMboSY/201703120028-FzwnlH,c035650064,http://lh3.googleusercontent.com/G7F8-X1wwtlSLcWsRbMTA3Dry6uTwOC6hTw8s7LmXca7eMPs0c6vlDKTx9IWB5t9shu324WvSFZRsEN_1HhY9fb_Rd8,3,"-33.796685,151.168343","-33.797888,151.167297","-33.795482,151.169389","<Polygon><outerBoundaryIs><coordinates>151.167587,-33.795482 151.167297,-33.797463 151.169098,-33.797888 151.169389,-33.795907</coordinates></outerBoundaryIs></Polygon>",$dE1511002$eE1511009$fS0334743$gS0334752,0.00000000000000000000000000000000,Marie Joyce Ilagan,13b3b0c04541850d3b39c15287e9477d3cd31940,03/12/2017,03/12/2017 00:28,,,,
Banksmeadow,SLNSW_subdivision_plans,georeferenced,yrfzZK14yY2pmYZiXagvWi/201703120658-312J7W,c027520015,http://lh3.googleusercontent.com/3KxNQXPmVGY0PNrBUGFIwQPBD0MKUmQCXteM3123TWPhzb_HC2HME8TUkzGSSAnju-KVy6tiu9tEzfWT55IqjAfk7_Y,6,"-33.951442,151.223771","-33.963266,151.213279","-33.939619,151.234262","<Polygon><outerBoundaryIs><coordinates>151.213279,-33.940233 151.214450,-33.963266 151.234262,-33.962652 151.233091,-33.939619</coordinates></outerBoundaryIs></Polygon>",$dE1511247$eE1511403$fS0335622$gS0335747,0.00007163591486838521938881885198,Kyle S,bca64fad5db9faae87f5f365c342856e0441cb6e,03/12/2017,03/12/2017 06:58,,,,
"Regent's Park, Orchards Subdiviision",SLNSW_subdivision_plans,georeferenced,DILfU2NzRhFqCdMlRrDtIk/201703120717-qhcVkg,c029520033,http://lh3.googleusercontent.com/vzH7t_NYvaWnVLAPBv0t7pRwbZjMPb03OLhOk0PAWc9I76gad-LUvszOZZWr7JwHW-eN3Hfh-bpeoEzujv_2E10rpuI,9,"-33.877008,151.029540","-33.886309,151.022181","-33.867706,151.036899","<Polygon><outerBoundaryIs><coordinates>151.025361,-33.867706 151.022181,-33.884490 151.033719,-33.886309 151.036899,-33.869525</coordinates></outerBoundaryIs></Polygon>",$dE1510119$eE1510212$fS0335203$gS0335310,0.00041614874018577863688805873466,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:17,,,,
"Rockdale, Alphington park",SLNSW_subdivision_plans,georeferenced,YuIDmD3DDVOfbFoUaMzCuB/201703120724-pAwSrG,c032560004,http://lh3.googleusercontent.com/gV5bqYF65ZM2Z5800seBC49gQ_Grrf7wqM9u6_7v13sLtWlTUNOdsbQQFymEYyptfE6XFaRfuDK-txde2PWs44HLQZI,5,"-33.944692,151.121205","-33.960955,151.103072","-33.928430,151.139338","<Polygon><outerBoundaryIs><coordinates>151.139338,-33.950671 151.120923,-33.928430 151.103072,-33.938713 151.121487,-33.960955</coordinates></outerBoundaryIs></Polygon>",$dE1510611$eE1510821$fS0335542$gS0335739,0.00003179740265230759465979459844,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:24,,,,
"Chatswood, Havilah Estate",SLNSW_subdivision_plans,georeferenced,Zu59x6lflfyzPgqKwEZcnP/201703120725-lIoiD1,c035650027,http://lh3.googleusercontent.com/SOVidjoo4S0kvPlW9SOJ-9XIZeGr1nOcuINkw4stVdNrQHGPFQqAoFivKIA63mkLmMdTyoE6iEe3codcCO6lxXkvOSg,8,"-33.793734,151.184995","-33.797961,151.178639","-33.789506,151.191350","<Polygon><outerBoundaryIs><coordinates>151.178639,-33.792788 151.180807,-33.797961 151.191350,-33.794679 151.189182,-33.789506</coordinates></outerBoundaryIs></Polygon>",$dE1511043$eE1511128$fS0334722$gS0334752,0.00036280248579895869138686737010,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:25,,,,
"Chatswood, Ellerslie Estate",SLNSW_subdivision_plans,georeferenced,oNwzNKw5W9UoUEZt3nDzEH/201703120728-jARJ4C,c035650061,http://lh3.googleusercontent.com/2uvqYGZffzTSVrxbcYc2HukTi6dIemwzuLAtqoLnsJAFYG1iQlrqqXlCEab-W8KTA9xDKemMO9tqY5Rb99OVw732lPJg,4,"-33.794670,151.172515","-33.797595,151.168674","-33.791744,151.176355","<Polygon><outerBoundaryIs><coordinates>151.168674,-33.795574 151.174823,-33.797595 151.176355,-33.793765 151.170206,-33.791744</coordinates></outerBoundaryIs></Polygon>",$dE1511007$eE1511034$fS0334730$gS0334751,0.00018260791898985054867825261748,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:28,,,,
"Ashfield South, Canterbury House, Goodlet Estate",SLNSW_subdivision_plans,georeferenced,kAwnMnapOPUDYIoUwoSsTC/201703120730-573Eww,a5371060,http://lh3.googleusercontent.com/eTmCua9Mk1mV41F5txOQcBualznkLkjx5AJ7yJ0NTchVmRUYDJgieY-EO1hbwGsHLO9KCQg84xKyDrgYet0oo5sip_Ce,7,"-33.897687,151.114980","-33.902036,151.111179","-33.893339,151.118781","<Polygon><outerBoundaryIs><coordinates>151.112202,-33.893339 151.111179,-33.901435 151.117757,-33.902036 151.118781,-33.893939</coordinates></outerBoundaryIs></Polygon>",$dE1510640$eE1510707$fS0335336$gS0335407,0.00001414016816042624758711573896,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:30,,,,
Banksia,SLNSW_subdivision_plans,georeferenced,yYMp7cae3aZLMbPOmM8UhL/201703120732-3ALUOg,c027720020,http://lh3.googleusercontent.com/Y5ZAUH_HJtfFaiDS_AKm-xfmQw5FWXYX5qup2PhcM84-x9KFocIrTsrfI0O_R1Y8c2rlnCrO2RhnOXNmKb4fmu_Jk9VE,10,"-33.944818,151.142386","-33.948114,151.139041","-33.941523,151.145731","<Polygon><outerBoundaryIs><coordinates>151.140463,-33.941523 151.139041,-33.947378 151.144309,-33.948114 151.145731,-33.942258</coordinates></outerBoundaryIs></Polygon>",$dE1510820$eE1510844$fS0335629$gS0335653,0.00005191033310696069167809382772,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:32,,,,
"Bondi, Vickers' Estate",SLNSW_subdivision_plans,georeferenced,tXE1jiXq178wY1GFhIfkEA/201703120734-UoDks6,c032770038,http://lh3.googleusercontent.com/eG7OfjX1Pz3FuLSwKS5nnU_e2csqHsdh85FyHA0ySYJ23WKiqdki0-cSfJjsHN6Qa4dw9ur_ewfg4P6BrfHXQlLWSqM,4,"-33.885691,151.279792","-33.887205,151.277998","-33.884178,151.281587","<Polygon><outerBoundaryIs><coordinates>151.279818,-33.884178 151.277998,-33.886299 151.279766,-33.887205 151.281587,-33.885084</coordinates></outerBoundaryIs></Polygon>",$dE1511640$eE1511653$fS0335303$gS0335313,0.00004438831746147227380215258274,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:34,,,,
"Canterbury, South Ashfield, Goodlet Estate",SLNSW_subdivision_plans,georeferenced,p96H7mDuX5nfzTFqnnwy0T/201703120743-D4Emwv,a5371058,http://lh3.googleusercontent.com/xFYQ4AcpxkA2LBi6COs0HNMjx5foypcgTUdpE50wfMTgIwTmPp5vZQIZf9MHk9LL8-HOBji8T5p5EkIYt5wbqWbqFw,9,"-33.900010,151.117953","-33.905067,151.114677","-33.894952,151.121228","<Polygon><outerBoundaryIs><coordinates>151.115411,-33.894952 151.114677,-33.903520 151.120494,-33.905067 151.121228,-33.896499</coordinates></outerBoundaryIs></Polygon>",$dE1510652$eE1510716$fS0335341$gS0335418,0.00019902298566532535309923923617,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:43,,,,
"Waverley, Mundarrah Estate",SLNSW_subdivision_plans,georeferenced,RUjGTiPhIgwXJswAZr54o6/201703120747-K2K4JP,c032800025,http://lh3.googleusercontent.com/-p1QzV9_08V7myCn_q-LwL6VcMU3XyQOIq-_BWNn2HFNqfwjhBYhhULSceoe5VcWgVDzoNahBeQM1AEUKH1sl8mWpKk,8,"-33.908807,151.260550","-33.911002,151.258379","-33.906612,151.262720","<Polygon><outerBoundaryIs><coordinates>151.259219,-33.906612 151.258379,-33.910485 151.261880,-33.911002 151.262720,-33.907129</coordinates></outerBoundaryIs></Polygon>",$dE1511530$eE1511545$fS0335423$gS0335439,0.00001150850956784792793164383384,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:47,,,,
"Chippendale, Blackfriars Estate",SLNSW_subdivision_plans,georeferenced,q8IZ4cZTvPYBAABkTUoTJP/201703120751-F6pPJb,c035520005,http://lh3.googleusercontent.com/ZAhfla_8MW-aNp6AcqXo6MsaJZZPW9TnF_ZEliE5agj0pmgewuV32tOJOOZ_q8F7K3msWMS4mVpBBb1S2IZA0YkyC36M,8,"-33.885538,151.197566","-33.886982,151.195018","-33.884095,151.200114","<Polygon><outerBoundaryIs><coordinates>151.199929,-33.884095 151.195018,-33.884224 151.195203,-33.886982 151.200114,-33.886853</coordinates></outerBoundaryIs></Polygon>",$dE1511142$eE1511200$fS0335302$gS0335313,0.00000876325271699335748805999996,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:51,,,,
"Brighton-Le-Sands, Brighton Estate",SLNSW_subdivision_plans,georeferenced,yXi5Z8hideq9NjbIjuaNJc/201703120754-WXiUck,c032790025,http://lh3.googleusercontent.com/6F7t8xQj3OtP4H8iafPO3BuZE-MkPM3gJZgt_zdKt12GnbWwzvQ5Fj_50_kCXttPAAkuOXufPiazDu6CJfqQWhwOuQ,5,"-33.955028,151.156132","-33.958905,151.150652","-33.951150,151.161612","<Polygon><outerBoundaryIs><coordinates>151.150652,-33.951150 151.154317,-33.957509 151.161612,-33.958905 151.157947,-33.952547</coordinates></outerBoundaryIs></Polygon>",$dE1510902$eE1510941$fS0335704$gS0335732,0.00033320214577153476178186797263,Hayley Cheng,0e5109e1fd7038dcffe746880e1975f45eb6cb42,03/12/2017,03/12/2017 07:54,,,,
Annandale,SLNSW_subdivision_plans,georeferenced,gieulCUuDKFxYDm08uVsBH/201703121034-Zu4hND,c010460002,http://lh3.googleusercontent.com/MRzhDaU_FcfhQ4p3ztson6rLcwuaLUvQn7hFZKfh30bnS5ZxA3eixykIGOnLpYb_nkkty2DR0hhTTOUceWgq2GUDIQ,10,"-33.880498,151.176483","-33.884885,151.173382","-33.876111,151.179583","<Polygon><outerBoundaryIs><coordinates>151.174490,-33.876111 151.173382,-33.884374 151.178475,-33.884885 151.179583,-33.876622</coordinates></outerBoundaryIs></Polygon>",$dE1511024$eE1511046$fS0335233$gS0335305,0.00001673885685666005903433038726,Mark Wilson,775af1f6265b21ac6b29d790c969da74525fc0c5,03/12/2017,03/12/2017 10:34,,,,
Bankstown,SLNSW_subdivision_plans,georeferenced,0t5KW4mR5B3GJLUG4XdO8H/201703121119-YeYeVL,c028140006,http://lh3.googleusercontent.com/6q99jxyRrg29ju5wA-op6iLn5__ycS2L_0O19aBCpss1kjGmWPKA9qx6woZoGMxPewgEHl30BU3uhYbaTffXEsUKrg,18,"-33.907906,151.036383","-33.923690,151.020653","-33.892122,151.052114","<Polygon><outerBoundaryIs><coordinates>151.025841,-33.892122 151.020653,-33.920345 151.046925,-33.923690 151.052114,-33.895468</coordinates></outerBoundaryIs></Polygon>",$dE1510114$eE1510307$fS0335331$gS0335525,0.00013894254584529029867591420899,Ellen,47bcd10a7d040c4f6e5315147a028fed93c9d7fb,03/12/2017,03/12/2017 11:19,,,,
Auburn,SLNSW_subdivision_plans,georeferenced,RbGa0lDVieJfQfrMDfPbSk/201703121132-8N3ZNZ,c027300001,http://lh3.googleusercontent.com/5X7RCP7hlKzK9aO-vDxWuDPSyopXEhVbB2dol4U1zJD-E5AZ-teq3XGKUIqLPBPbVR9QdRSYf3bS2TVZ667f_8KwsiQ,13,"-33.858363,151.030703","-33.862403,151.027287","-33.854322,151.034118","<Polygon><outerBoundaryIs><coordinates>151.028411,-33.854322 151.027287,-33.861667 151.032994,-33.862403 151.034118,-33.855059</coordinates></outerBoundaryIs></Polygon>",$dE1510138$eE1510202$fS0335115$gS0335144,0.00007944179557714890597703433217,Ted Bell,8236a74a2d3bd32b0760801651a8ed70d5b73f16,03/12/2017,03/12/2017 11:32,,,,
"Rockdale, Alphington Hills",SLNSW_subdivision_plans,georeferenced,xn8haDKE3W1Sh46xuRvrRs/201703121204-HB0IvA,c032560001,http://lh3.googleusercontent.com/EO_njbIuMprCC_tZjkYSyn6iNV3zs_kO2Y7EM_HANxeMai_NclF6zQSONtfLtiJ87D86xsmoZkVBnaX61piprWVDgTI,13,"-33.949409,151.122337","-33.951841,151.117966","-33.946977,151.126708","<Polygon><outerBoundaryIs><coordinates>151.117966,-33.951297 151.126574,-33.951841 151.126708,-33.947521 151.118099,-33.946977</coordinates></outerBoundaryIs></Polygon>",$dE1510704$eE1510736$fS0335649$gS0335706,0.00011110904750902599275128729284,Ted Bell,8236a74a2d3bd32b0760801651a8ed70d5b73f16,03/12/2017,03/12/2017 12:04,,,,
Manly,SLNSW_subdivision_plans,georeferenced,N3SwfgrR9RalaqBuCvxRRp/201703130022-NDSoJ5,a9613016,http://lh3.googleusercontent.com/D9Mmj4A-Zjnq0VtrwyWzE5uOgnnOLNen8AQI4gXj_fA_07cbvVGPg-oAQ8MByMULmh06b2ENjeRqUp1rQjAF9OgbJmlT,7,"-33.797399,151.267484","-33.800198,151.265019","-33.794599,151.269949","<Polygon><outerBoundaryIs><coordinates>151.265972,-33.794599 151.265019,-33.799664 151.268997,-33.800198 151.269949,-33.795133</coordinates></outerBoundaryIs></Polygon>",$dE1511554$eE1511611$fS0334740$gS0334800,0.00001804457863729188872277744982,Ted Bell,8236a74a2d3bd32b0760801651a8ed70d5b73f16,03/13/2017,03/13/2017 00:22,,,,
Bankstown,SLNSW_subdivision_plans,georeferenced,LnSoxU3sUhn8IQtPGDlba1/201703130052-Slmeht,c028140056,http://lh3.googleusercontent.com/h5MkankyomFkXQx9yk6iI0EncWQrIbfT6ZaXfJyXqY4PNxpntDLkxUi-TDArPWDZb5jg89ZMj1eNN6udHwdt8j3iHA,36,"-33.917492,151.033897","-33.918271,151.032239","-33.916712,151.035555","<Polygon><outerBoundaryIs><coordinates>151.032239,-33.916769 151.032534,-33.918271 151.035555,-33.918214 151.035259,-33.916712</coordinates></outerBoundaryIs></Polygon>",$dE1510156$eE1510207$fS0335500$gS0335505,0.00003609591512429817050742336670,Ted Bell,8236a74a2d3bd32b0760801651a8ed70d5b73f16,03/13/2017,03/13/2017 00:52,,,,
Enfield Heights,SLNSW_subdivision_plans,georeferenced,Ges05i8LO87VRuukUkyQfV/201703130149-beXoLh,c029510013,http://lh3.googleusercontent.com/xA1Q52aGnyv-rrqtOqkzjRLXlCuZlxyn3hU2_yq6YCCHYJNAdtyWq0QSZqiSdYrJMTdc_r2G_w-8xt-P0EBoByOToTo,18,"-33.903990,151.066265","-33.911907,151.052047","-33.896073,151.080483","<Polygon><outerBoundaryIs><coordinates>151.074965,-33.911907 151.080483,-33.899776 151.057564,-33.896073 151.052047,-33.908205</coordinates></outerBoundaryIs></Polygon>",$dE1510307$eE1510449$fS0335345$gS0335442,0.00115865904646278222375754829443,Ted Bell,8236a74a2d3bd32b0760801651a8ed70d5b73f16,03/13/2017,03/13/2017 01:49,,,,
